RECORDING_SESSION_LABEL,item,group,N1,N2,condition,SFD
y203wyx,T31,1Y,2P,2P,1Y-2P-2P,348
y203wyx,T59,1Y,1I,2P,1Y-1I-2P,372
y203wyx,T29,1Y,1I,1I,1Y-1I-1I,249
y203wyx,T01,1Y,2P,1I,1Y-2P-1I,327
y203wyx,T55,1Y,1I,2P,1Y-1I-2P,113
y203wyx,T60,1Y,1I,2P,1Y-1I-2P,263
y203wyx,T32,1Y,2P,2P,1Y-2P-2P,444
y203wyx,T42,1Y,2P,2P,1Y-2P-2P,315
y203wyx,T13,1Y,2P,1I,1Y-2P-1I,161
y203wyx,T09,1Y,2P,1I,1Y-2P-1I,269
y203wyx,T26,1Y,1I,1I,1Y-1I-1I,314
y203wyx,T22,1Y,1I,1I,1Y-1I-1I,155
y203wyx,T12,1Y,2P,1I,1Y-2P-1I,344
y203wyx,T20,1Y,1I,1I,1Y-1I-1I,184
y204lll,T05,1Y,2P,1I,1Y-2P-1I,223
y204lll,T35,1Y,2P,2P,1Y-2P-2P,275
y204lll,T44,1Y,2P,2P,1Y-2P-2P,333
y204lll,T03,1Y,2P,1I,1Y-2P-1I,316
y204lll,T41,1Y,2P,2P,1Y-2P-2P,292
y204lll,T37,1Y,2P,2P,1Y-2P-2P,228
y204lll,T06,1Y,2P,1I,1Y-2P-1I,318
y204lll,T58,1Y,1I,2P,1Y-1I-2P,397
y204lll,T56,1Y,1I,2P,1Y-1I-2P,230
y204lll,T10,1Y,2P,1I,1Y-2P-1I,316
y204lll,T19,1Y,1I,1I,1Y-1I-1I,186
y204lll,T11,1Y,2P,1I,1Y-2P-1I,255
y204lll,T31,1Y,2P,2P,1Y-2P-2P,226
y204lll,T01,1Y,2P,1I,1Y-2P-1I,383
y204lll,T59,1Y,1I,2P,1Y-1I-2P,434
y204lll,T22,1Y,1I,1I,1Y-1I-1I,320
y204lll,T18,1Y,1I,1I,1Y-1I-1I,209
y204lll,T40,1Y,2P,2P,1Y-2P-2P,144
y204lll,T14,1Y,2P,1I,1Y-2P-1I,200
y204lll,T43,1Y,2P,2P,1Y-2P-2P,191
y204lll,T49,1Y,1I,2P,1Y-1I-2P,271
y204lll,T04,1Y,2P,1I,1Y-2P-1I,612
y204lll,T34,1Y,2P,2P,1Y-2P-2P,320
y204lll,T25,1Y,1I,1I,1Y-1I-1I,343
y206wg,T26,1Y,1I,1I,1Y-1I-1I,234
y206wg,T25,1Y,1I,1I,1Y-1I-1I,662
y206wg,T45,1Y,2P,2P,1Y-2P-2P,132
y206wg,T37,1Y,2P,2P,1Y-2P-2P,238
y206wg,T38,1Y,2P,2P,1Y-2P-2P,204
y206wg,T52,1Y,1I,2P,1Y-1I-2P,227
y206wg,T50,1Y,1I,2P,1Y-1I-2P,249
y206wg,T15,1Y,2P,1I,1Y-2P-1I,324
y206wg,T33,1Y,2P,2P,1Y-2P-2P,176
y206wg,T17,1Y,1I,1I,1Y-1I-1I,230
y206wg,T22,1Y,1I,1I,1Y-1I-1I,109
y206wg,T12,1Y,2P,1I,1Y-2P-1I,387
y206wg,T23,1Y,1I,1I,1Y-1I-1I,285
y206wg,T44,1Y,2P,2P,1Y-2P-2P,285
y206wg,T51,1Y,1I,2P,1Y-1I-2P,218
y206wg,T56,1Y,1I,2P,1Y-1I-2P,284
y206wg,T29,1Y,1I,1I,1Y-1I-1I,282
y206wg,T46,1Y,1I,2P,1Y-1I-2P,259
y206wg,T03,1Y,2P,1I,1Y-2P-1I,277
y206wg,T11,1Y,2P,1I,1Y-2P-1I,244
y206wg,T40,1Y,2P,2P,1Y-2P-2P,482
y207cym,T21,1Y,1I,1I,1Y-1I-1I,331
y207cym,T53,1Y,1I,2P,1Y-1I-2P,190
y207cym,T43,1Y,2P,2P,1Y-2P-2P,163
y207cym,T18,1Y,1I,1I,1Y-1I-1I,289
y207cym,T09,1Y,2P,1I,1Y-2P-1I,206
y207cym,T05,1Y,2P,1I,1Y-2P-1I,250
y207cym,T49,1Y,1I,2P,1Y-1I-2P,276
y207cym,T29,1Y,1I,1I,1Y-1I-1I,162
y207cym,T56,1Y,1I,2P,1Y-1I-2P,241
y207cym,T03,1Y,2P,1I,1Y-2P-1I,336
y207cym,T31,1Y,2P,2P,1Y-2P-2P,257
y207cym,T40,1Y,2P,2P,1Y-2P-2P,196
y207cym,T14,1Y,2P,1I,1Y-2P-1I,216
y207cym,T60,1Y,1I,2P,1Y-1I-2P,313
y207cym,T34,1Y,2P,2P,1Y-2P-2P,176
y207cym,T13,1Y,2P,1I,1Y-2P-1I,248
y207cym,T38,1Y,2P,2P,1Y-2P-2P,163
y207cym,T33,1Y,2P,2P,1Y-2P-2P,247
y207cym,T30,1Y,1I,1I,1Y-1I-1I,280
y207cym,T01,1Y,2P,1I,1Y-2P-1I,313
y207cym,T16,1Y,1I,1I,1Y-1I-1I,200
y207cym,T26,1Y,1I,1I,1Y-1I-1I,210
y208klc,T44,1Y,2P,2P,1Y-2P-2P,381
y208klc,T53,1Y,1I,2P,1Y-1I-2P,178
y208klc,T47,1Y,1I,2P,1Y-1I-2P,315
y208klc,T42,1Y,2P,2P,1Y-2P-2P,499
y208klc,T34,1Y,2P,2P,1Y-2P-2P,633
y208klc,T59,1Y,1I,2P,1Y-1I-2P,398
y208klc,T33,1Y,2P,2P,1Y-2P-2P,467
y208klc,T05,1Y,2P,1I,1Y-2P-1I,449
y208klc,T58,1Y,1I,2P,1Y-1I-2P,591
y208klc,T48,1Y,1I,2P,1Y-1I-2P,415
y208klc,T08,1Y,2P,1I,1Y-2P-1I,493
y208klc,T21,1Y,1I,1I,1Y-1I-1I,260
y208klc,T24,1Y,1I,1I,1Y-1I-1I,371
y208klc,T57,1Y,1I,2P,1Y-1I-2P,265
y208klc,T28,1Y,1I,1I,1Y-1I-1I,366
y208klc,T30,1Y,1I,1I,1Y-1I-1I,321
y208klc,T10,1Y,2P,1I,1Y-2P-1I,439
y208klc,T15,1Y,2P,1I,1Y-2P-1I,398
y208klc,T14,1Y,2P,1I,1Y-2P-1I,137
y208klc,T26,1Y,1I,1I,1Y-1I-1I,226
y208klc,T01,1Y,2P,1I,1Y-2P-1I,192
y208klc,T56,1Y,1I,2P,1Y-1I-2P,407
y209zm,T25,1Y,1I,1I,1Y-1I-1I,217
y209zm,T21,1Y,1I,1I,1Y-1I-1I,123
y209zm,T35,1Y,2P,2P,1Y-2P-2P,238
y209zm,T47,1Y,1I,2P,1Y-1I-2P,166
y209zm,T17,1Y,1I,1I,1Y-1I-1I,178
y209zm,T58,1Y,1I,2P,1Y-1I-2P,128
y209zm,T57,1Y,1I,2P,1Y-1I-2P,141
y209zm,T05,1Y,2P,1I,1Y-2P-1I,294
y209zm,T30,1Y,1I,1I,1Y-1I-1I,90
y209zm,T43,1Y,2P,2P,1Y-2P-2P,226
y209zm,T12,1Y,2P,1I,1Y-2P-1I,139
y209zm,T55,1Y,1I,2P,1Y-1I-2P,207
y209zm,T27,1Y,1I,1I,1Y-1I-1I,170
y209zm,T54,1Y,1I,2P,1Y-1I-2P,151
y209zm,T07,1Y,2P,1I,1Y-2P-1I,436
y209zm,T13,1Y,2P,1I,1Y-2P-1I,192
y210hxh,T16,1Y,1I,1I,1Y-1I-1I,291
y210hxh,T60,1Y,1I,2P,1Y-1I-2P,216
y210hxh,T32,1Y,2P,2P,1Y-2P-2P,522
y210hxh,T29,1Y,1I,1I,1Y-1I-1I,223
y210hxh,T36,1Y,2P,2P,1Y-2P-2P,244
y210hxh,T19,1Y,1I,1I,1Y-1I-1I,145
y210hxh,T38,1Y,2P,2P,1Y-2P-2P,147
y210hxh,T46,1Y,1I,2P,1Y-1I-2P,209
y210hxh,T40,1Y,2P,2P,1Y-2P-2P,325
y210hxh,T13,1Y,2P,1I,1Y-2P-1I,281
y210hxh,T05,1Y,2P,1I,1Y-2P-1I,252
y210hxh,T22,1Y,1I,1I,1Y-1I-1I,154
y210hxh,T33,1Y,2P,2P,1Y-2P-2P,308
y210hxh,T37,1Y,2P,2P,1Y-2P-2P,185
y211zby,T48,1Y,1I,2P,1Y-1I-2P,244
y211zby,T44,1Y,2P,2P,1Y-2P-2P,344
y211zby,T09,1Y,2P,1I,1Y-2P-1I,190
y211zby,T58,1Y,1I,2P,1Y-1I-2P,283
y211zby,T25,1Y,1I,1I,1Y-1I-1I,228
y211zby,T51,1Y,1I,2P,1Y-1I-2P,203
y211zby,T20,1Y,1I,1I,1Y-1I-1I,368
y211zby,T08,1Y,2P,1I,1Y-2P-1I,172
y211zby,T11,1Y,2P,1I,1Y-2P-1I,362
y211zby,T41,1Y,2P,2P,1Y-2P-2P,407
y211zby,T39,1Y,2P,2P,1Y-2P-2P,230
y211zby,T14,1Y,2P,1I,1Y-2P-1I,392
y211zby,T38,1Y,2P,2P,1Y-2P-2P,311
y211zby,T10,1Y,2P,1I,1Y-2P-1I,239
y211zby,T04,1Y,2P,1I,1Y-2P-1I,220
y211zby,T55,1Y,1I,2P,1Y-1I-2P,275
y211zby,T49,1Y,1I,2P,1Y-1I-2P,220
y211zby,T18,1Y,1I,1I,1Y-1I-1I,343
y211zby,T54,1Y,1I,2P,1Y-1I-2P,180
y211zby,T60,1Y,1I,2P,1Y-1I-2P,341
y212dh,T42,1Y,2P,2P,1Y-2P-2P,293
y212dh,T17,1Y,1I,1I,1Y-1I-1I,192
y212dh,T55,1Y,1I,2P,1Y-1I-2P,421
y212dh,T37,1Y,2P,2P,1Y-2P-2P,171
y212dh,T38,1Y,2P,2P,1Y-2P-2P,445
y212dh,T56,1Y,1I,2P,1Y-1I-2P,204
y212dh,T58,1Y,1I,2P,1Y-1I-2P,314
y212dh,T22,1Y,1I,1I,1Y-1I-1I,167
y212dh,T53,1Y,1I,2P,1Y-1I-2P,195
y212dh,T45,1Y,2P,2P,1Y-2P-2P,450
y212dh,T31,1Y,2P,2P,1Y-2P-2P,471
y212dh,T05,1Y,2P,1I,1Y-2P-1I,413
y212dh,T10,1Y,2P,1I,1Y-2P-1I,308
y301nll,T13,1Y,1I,2P,1Y-1I-2P,216
y301nll,T20,1Y,2P,2P,1Y-2P-2P,606
y301nll,T49,1Y,1I,1I,1Y-1I-1I,350
y301nll,T07,1Y,1I,2P,1Y-1I-2P,303
y301nll,T53,1Y,1I,1I,1Y-1I-1I,227
y301nll,T10,1Y,1I,2P,1Y-1I-2P,247
y301nll,T31,1Y,2P,1I,1Y-2P-1I,307
y301nll,T37,1Y,2P,1I,1Y-2P-1I,445
y301nll,T26,1Y,2P,2P,1Y-2P-2P,467
y301nll,T24,1Y,2P,2P,1Y-2P-2P,328
y301nll,T27,1Y,2P,2P,1Y-2P-2P,471
y301nll,T28,1Y,2P,2P,1Y-2P-2P,300
y301nll,T58,1Y,1I,1I,1Y-1I-1I,514
y301nll,T40,1Y,2P,1I,1Y-2P-1I,345
y301nll,T34,1Y,2P,1I,1Y-2P-1I,436
y301nll,T21,1Y,2P,2P,1Y-2P-2P,484
y301nll,T52,1Y,1I,1I,1Y-1I-1I,294
y301nll,T16,1Y,2P,2P,1Y-2P-2P,261
y301nll,T57,1Y,1I,1I,1Y-1I-1I,218
y301nll,T17,1Y,2P,2P,1Y-2P-2P,375
y301nll,T42,1Y,2P,1I,1Y-2P-1I,168
y301nll,T01,1Y,1I,2P,1Y-1I-2P,378
y301nll,T18,1Y,2P,2P,1Y-2P-2P,349
y301nll,T41,1Y,2P,1I,1Y-2P-1I,324
y301nll,T14,1Y,1I,2P,1Y-1I-2P,85
y301nll,T22,1Y,2P,2P,1Y-2P-2P,231
y301nll,T30,1Y,2P,2P,1Y-2P-2P,338
y301nll,T15,1Y,1I,2P,1Y-1I-2P,238
y301nll,T23,1Y,2P,2P,1Y-2P-2P,391
y301nll,T35,1Y,2P,1I,1Y-2P-1I,419
y301nll,T51,1Y,1I,1I,1Y-1I-1I,157
y301nll,T32,1Y,2P,1I,1Y-2P-1I,178
y301nll,T36,1Y,2P,1I,1Y-2P-1I,147
y301nll,T29,1Y,2P,2P,1Y-2P-2P,403
y301nll,T08,1Y,1I,2P,1Y-1I-2P,437
y301nll,T50,1Y,1I,1I,1Y-1I-1I,233
y301nll,T54,1Y,1I,1I,1Y-1I-1I,175
y302wyl,T27,1Y,2P,2P,1Y-2P-2P,427
y302wyl,T29,1Y,2P,2P,1Y-2P-2P,300
y302wyl,T08,1Y,1I,2P,1Y-1I-2P,265
y302wyl,T41,1Y,2P,1I,1Y-2P-1I,194
y302wyl,T31,1Y,2P,1I,1Y-2P-1I,191
y302wyl,T24,1Y,2P,2P,1Y-2P-2P,148
y302wyl,T47,1Y,1I,1I,1Y-1I-1I,141
y302wyl,T51,1Y,1I,1I,1Y-1I-1I,297
y302wyl,T09,1Y,1I,2P,1Y-1I-2P,288
y302wyl,T20,1Y,2P,2P,1Y-2P-2P,422
y302wyl,T36,1Y,2P,1I,1Y-2P-1I,343
y302wyl,T15,1Y,1I,2P,1Y-1I-2P,297
y302wyl,T19,1Y,2P,2P,1Y-2P-2P,212
y302wyl,T34,1Y,2P,1I,1Y-2P-1I,159
y302wyl,T01,1Y,1I,2P,1Y-1I-2P,434
y302wyl,T39,1Y,2P,1I,1Y-2P-1I,249
y302wyl,T13,1Y,1I,2P,1Y-1I-2P,114
y302wyl,T30,1Y,2P,2P,1Y-2P-2P,323
y302wyl,T43,1Y,2P,1I,1Y-2P-1I,374
y302wyl,T32,1Y,2P,1I,1Y-2P-1I,209
y302wyl,T45,1Y,2P,1I,1Y-2P-1I,93
y302wyl,T18,1Y,2P,2P,1Y-2P-2P,178
y302wyl,T16,1Y,2P,2P,1Y-2P-2P,170
y302wyl,T54,1Y,1I,1I,1Y-1I-1I,233
y302wyl,T33,1Y,2P,1I,1Y-2P-1I,181
y302wyl,T21,1Y,2P,2P,1Y-2P-2P,261
y302wyl,T11,1Y,1I,2P,1Y-1I-2P,180
y303cx,T58,1Y,1I,1I,1Y-1I-1I,343
y303cx,T56,1Y,1I,1I,1Y-1I-1I,197
y303cx,T30,1Y,2P,2P,1Y-2P-2P,194
y303cx,T23,1Y,2P,2P,1Y-2P-2P,228
y303cx,T19,1Y,2P,2P,1Y-2P-2P,197
y303cx,T18,1Y,2P,2P,1Y-2P-2P,202
y303cx,T32,1Y,2P,1I,1Y-2P-1I,266
y303cx,T35,1Y,2P,1I,1Y-2P-1I,209
y303cx,T54,1Y,1I,1I,1Y-1I-1I,244
y303cx,T13,1Y,1I,2P,1Y-1I-2P,354
y303cx,T04,1Y,1I,2P,1Y-1I-2P,198
y303cx,T59,1Y,1I,1I,1Y-1I-1I,197
y303cx,T12,1Y,1I,2P,1Y-1I-2P,219
y303cx,T25,1Y,2P,2P,1Y-2P-2P,263
y303cx,T21,1Y,2P,2P,1Y-2P-2P,250
y303cx,T37,1Y,2P,1I,1Y-2P-1I,246
y303cx,T16,1Y,2P,2P,1Y-2P-2P,225
y303cx,T31,1Y,2P,1I,1Y-2P-1I,181
y303cx,T22,1Y,2P,2P,1Y-2P-2P,204
y303cx,T40,1Y,2P,1I,1Y-2P-1I,285
y303cx,T14,1Y,1I,2P,1Y-1I-2P,364
y304wgl,T47,1Y,1I,1I,1Y-1I-1I,199
y304wgl,T20,1Y,2P,2P,1Y-2P-2P,346
y304wgl,T57,1Y,1I,1I,1Y-1I-1I,180
y304wgl,T18,1Y,2P,2P,1Y-2P-2P,239
y304wgl,T31,1Y,2P,1I,1Y-2P-1I,194
y304wgl,T08,1Y,1I,2P,1Y-1I-2P,355
y304wgl,T04,1Y,1I,2P,1Y-1I-2P,175
y304wgl,T45,1Y,2P,1I,1Y-2P-1I,212
y304wgl,T53,1Y,1I,1I,1Y-1I-1I,332
y304wgl,T52,1Y,1I,1I,1Y-1I-1I,195
y305axy,T04,1Y,1I,2P,1Y-1I-2P,260
y305axy,T26,1Y,2P,2P,1Y-2P-2P,337
y305axy,T53,1Y,1I,1I,1Y-1I-1I,277
y305axy,T11,1Y,1I,2P,1Y-1I-2P,385
y305axy,T20,1Y,2P,2P,1Y-2P-2P,235
y305axy,T19,1Y,2P,2P,1Y-2P-2P,335
y305axy,T25,1Y,2P,2P,1Y-2P-2P,267
y305axy,T52,1Y,1I,1I,1Y-1I-1I,305
y305axy,T28,1Y,2P,2P,1Y-2P-2P,558
y305axy,T21,1Y,2P,2P,1Y-2P-2P,711
y305axy,T30,1Y,2P,2P,1Y-2P-2P,251
y305axy,T01,1Y,1I,2P,1Y-1I-2P,318
y305axy,T45,1Y,2P,1I,1Y-2P-1I,363
y305axy,T24,1Y,2P,2P,1Y-2P-2P,756
y305axy,T06,1Y,1I,2P,1Y-1I-2P,202
y305axy,T03,1Y,1I,2P,1Y-1I-2P,248
y305axy,T31,1Y,2P,1I,1Y-2P-1I,336
y305axy,T34,1Y,2P,1I,1Y-2P-1I,230
y305axy,T48,1Y,1I,1I,1Y-1I-1I,288
y305axy,T50,1Y,1I,1I,1Y-1I-1I,663
y305axy,T08,1Y,1I,2P,1Y-1I-2P,225
y305axy,T09,1Y,1I,2P,1Y-1I-2P,312
y305axy,T07,1Y,1I,2P,1Y-1I-2P,329
y305axy,T59,1Y,1I,1I,1Y-1I-1I,216
y305axy,T43,1Y,2P,1I,1Y-2P-1I,324
y305axy,T17,1Y,2P,2P,1Y-2P-2P,374
y305axy,T49,1Y,1I,1I,1Y-1I-1I,141
y305axy,T37,1Y,2P,1I,1Y-2P-1I,299
y305axy,T27,1Y,2P,2P,1Y-2P-2P,286
y305axy,T39,1Y,2P,1I,1Y-2P-1I,391
y305axy,T56,1Y,1I,1I,1Y-1I-1I,268
y305axy,T16,1Y,2P,2P,1Y-2P-2P,414
y305axy,T33,1Y,2P,1I,1Y-2P-1I,279
y306hjt,T55,1Y,1I,1I,1Y-1I-1I,421
y306hjt,T33,1Y,2P,1I,1Y-2P-1I,233
y306hjt,T17,1Y,2P,2P,1Y-2P-2P,441
y306hjt,T34,1Y,2P,1I,1Y-2P-1I,468
y306hjt,T47,1Y,1I,1I,1Y-1I-1I,293
y306hjt,T05,1Y,1I,2P,1Y-1I-2P,199
y306hjt,T46,1Y,1I,1I,1Y-1I-1I,155
y306hjt,T26,1Y,2P,2P,1Y-2P-2P,442
y306hjt,T54,1Y,1I,1I,1Y-1I-1I,198
y306hjt,T10,1Y,1I,2P,1Y-1I-2P,293
y306hjt,T37,1Y,2P,1I,1Y-2P-1I,213
y306hjt,T41,1Y,2P,1I,1Y-2P-1I,193
y306hjt,T57,1Y,1I,1I,1Y-1I-1I,416
y306hjt,T13,1Y,1I,2P,1Y-1I-2P,177
y306hjt,T45,1Y,2P,1I,1Y-2P-1I,472
y306hjt,T40,1Y,2P,1I,1Y-2P-1I,180
y306hjt,T27,1Y,2P,2P,1Y-2P-2P,660
y306hjt,T35,1Y,2P,1I,1Y-2P-1I,372
y306hjt,T58,1Y,1I,1I,1Y-1I-1I,296
y306hjt,T21,1Y,2P,2P,1Y-2P-2P,281
y306hjt,T59,1Y,1I,1I,1Y-1I-1I,214
y306hjt,T14,1Y,1I,2P,1Y-1I-2P,264
y306hjt,T51,1Y,1I,1I,1Y-1I-1I,351
y306hjt,T38,1Y,2P,1I,1Y-2P-1I,176
y307kxx,T36,1Y,2P,1I,1Y-2P-1I,152
y307kxx,T08,1Y,1I,2P,1Y-1I-2P,140
y307kxx,T26,1Y,2P,2P,1Y-2P-2P,292
y307kxx,T55,1Y,1I,1I,1Y-1I-1I,181
y307kxx,T06,1Y,1I,2P,1Y-1I-2P,242
y307kxx,T31,1Y,2P,1I,1Y-2P-1I,307
y307kxx,T10,1Y,1I,2P,1Y-1I-2P,262
y307kxx,T03,1Y,1I,2P,1Y-1I-2P,99
y307kxx,T04,1Y,1I,2P,1Y-1I-2P,201
y307kxx,T21,1Y,2P,2P,1Y-2P-2P,356
y307kxx,T33,1Y,2P,1I,1Y-2P-1I,274
y307kxx,T37,1Y,2P,1I,1Y-2P-1I,387
y307kxx,T53,1Y,1I,1I,1Y-1I-1I,255
y307kxx,T60,1Y,1I,1I,1Y-1I-1I,129
y307kxx,T38,1Y,2P,1I,1Y-2P-1I,219
y307kxx,T19,1Y,2P,2P,1Y-2P-2P,288
y307kxx,T09,1Y,1I,2P,1Y-1I-2P,166
y308yxr,T21,1Y,2P,2P,1Y-2P-2P,376
y308yxr,T48,1Y,1I,1I,1Y-1I-1I,270
y308yxr,T35,1Y,2P,1I,1Y-2P-1I,195
y308yxr,T55,1Y,1I,1I,1Y-1I-1I,425
y308yxr,T32,1Y,2P,1I,1Y-2P-1I,209
y308yxr,T36,1Y,2P,1I,1Y-2P-1I,237
y308yxr,T15,1Y,1I,2P,1Y-1I-2P,229
y308yxr,T06,1Y,1I,2P,1Y-1I-2P,202
y308yxr,T44,1Y,2P,1I,1Y-2P-1I,204
y308yxr,T39,1Y,2P,1I,1Y-2P-1I,238
y308yxr,T09,1Y,1I,2P,1Y-1I-2P,215
y308yxr,T53,1Y,1I,1I,1Y-1I-1I,345
y308yxr,T10,1Y,1I,2P,1Y-1I-2P,235
y308yxr,T46,1Y,1I,1I,1Y-1I-1I,258
y308yxr,T27,1Y,2P,2P,1Y-2P-2P,362
y308yxr,T26,1Y,2P,2P,1Y-2P-2P,239
y308yxr,T28,1Y,2P,2P,1Y-2P-2P,231
y309zmj,T21,1Y,2P,2P,1Y-2P-2P,323
y309zmj,T33,1Y,2P,1I,1Y-2P-1I,272
y309zmj,T55,1Y,1I,1I,1Y-1I-1I,312
y309zmj,T16,1Y,2P,2P,1Y-2P-2P,330
y309zmj,T50,1Y,1I,1I,1Y-1I-1I,201
y309zmj,T37,1Y,2P,1I,1Y-2P-1I,551
y309zmj,T08,1Y,1I,2P,1Y-1I-2P,188
y309zmj,T51,1Y,1I,1I,1Y-1I-1I,214
y309zmj,T25,1Y,2P,2P,1Y-2P-2P,379
y309zmj,T38,1Y,2P,1I,1Y-2P-1I,476
y309zmj,T53,1Y,1I,1I,1Y-1I-1I,180
y309zmj,T17,1Y,2P,2P,1Y-2P-2P,459
y309zmj,T30,1Y,2P,2P,1Y-2P-2P,200
y309zmj,T48,1Y,1I,1I,1Y-1I-1I,162
y309zmj,T35,1Y,2P,1I,1Y-2P-1I,476
